No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Pendukung Keputusan,17
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Information Retrieval,4
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Augmented Reality,4
26,"Eka Larasati Amalia, S.ST., MT.",Computational Thinking,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Peramalan,7
26,"Eka Larasati Amalia, S.ST., MT.",Pengembangan Game,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Penambangan Teks,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Manajemen Informasi,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Data Besar,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Penambangan Data,1
26,"Eka Larasati Amalia, S.ST., MT.",Multimedia,1
27,"Ekojono, ST., M.Kom.",Penerapan Kecerdasan Buatan,4
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Pendukung Keputusan,9
27,"Ekojono, ST., M.Kom.",Penerapan IoT,2
27,"Ekojono, ST., M.Kom.",Multimedia,1
27,"Ekojono, ST., M.Kom.",Penerapan Augmented Reality,6
27,"Ekojono, ST., M.Kom.",Penerapan Customer Relationship Management,2
27,"Ekojono, ST., M.Kom.",Penerapan Pengenalan Pola,2
27,"Ekojono, ST., M.Kom.",Pengembangan Game,1
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Informasi Geografis,5
27,"Ekojono, ST., M.Kom.",Penerapan Data Besar,1
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Pakar,3
27,"Ekojono, ST., M.Kom.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
27,"Ekojono, ST., M.Kom.",Penerapan Manajemen Informasi,2
27,"Ekojono, ST., M.Kom.",Penerapan Watermarking pada Citra,1
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Peramalan,1
27,"Ekojono, ST., M.Kom.",Penerapan Morfologi Citra Digital,1
27,"Ekojono, ST., M.Kom.",Penerapan Smart Living,1
27,"Ekojono, ST., M.Kom.",Penerapan Penambangan Data,2
27,"Ekojono, ST., M.Kom.",Penerapan Penambangan Teks,1
27,"Ekojono, ST., M.Kom.",Penerapan Virtualisasi Jaringan,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Penambangan Teks,4
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Pendukung Keputusan,3
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Virtualisasi Jaringan,2
28,"Elok Nur Hamdana, S.T., M.T",Integrasi Sistem dan Arsitektur,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Peramalan,3
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Smart Living,1
28,"Elok Nur Hamdana, S.T., M.T",Computational Thinking,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan IoT,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Bisnis Elektronik Sistem Informasi,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Data Besar,2
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Augmented Reality,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Customer Relationship Management,1
28,"Elok Nur Hamdana, S.T., M.T",Penerapan Sistem Pakar,3
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Sistem Pakar,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Augmented Reality,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Smart Living,1
29,"Endah Septa Sintiya. SPd., MKom.",Multimedia,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan IoT,1
29,"Endah Septa Sintiya. SPd., MKom.",Penerapan Data Besar,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan IoT,9
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Informasi Geografis,9
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Pakar,5
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Peramalan,6
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Morfologi Citra Digital,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Keamanan Data,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Sistem Pendukung Keputusan,6
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Multimedia,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Data Besar,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Manajemen Informasi,2
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Penambangan Teks,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Teknologi Jaringan,3
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Augmented Reality,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Watermarking pada Citra,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Skalabilitas dan Analitik Data,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Enkripsi,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan IT Forensik pada Jaringan,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Pengenalan Pola,1
30,"Erfan Rohadi, ST., M.Eng., Ph.D.",Penerapan Filtering Citra,2
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",Multimedia,1
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",Penerapan Penambangan Teks,1
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",Penerapan Sistem Peramalan,2
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",Penerapan Customer Relationship Management,3
33,"Gunawan Budi Prasetyo, ST., MMT., Ph.D.",Penerapan Sistem Informasi Geografis,1
34,"Habibie Ed Dien, MT.",Penerapan Enkripsi,1
34,"Habibie Ed Dien, MT.",Penerapan Sistem Informasi Geografis,2
34,"Habibie Ed Dien, MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
34,"Habibie Ed Dien, MT.",Penerapan Bisnis Elektronik Sistem Informasi,1
34,"Habibie Ed Dien, MT.",Penerapan Sistem Pendukung Keputusan,1
34,"Habibie Ed Dien, MT.",Penerapan Penambangan Teks,1
34,"Habibie Ed Dien, MT.",Penerapan Information Retrieval,1
34,"Habibie Ed Dien, MT.",Penerapan Manajemen Informasi,1
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Sistem Peramalan,4
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Sistem Pendukung Keputusan,3
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Augmented Reality,5
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Sistem Pakar,6
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Kecerdasan Buatan,1
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Data Besar,3
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Manajemen Informasi,1
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Penambangan Data,1
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Customer Relationship Management,2
35,"Hendra Pradibta, SE., M.Sc.",Pengembangan Game,2
35,"Hendra Pradibta, SE., M.Sc.",Penerapan Sistem Informasi Geografis,3
35,"Hendra Pradibta, SE., M.Sc.",Penerapan IoT,1
36,"Ika Kusumaning Putri, MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
36,"Ika Kusumaning Putri, MT.",Penerapan Data Besar,1
36,"Ika Kusumaning Putri, MT.",Penerapan Penambangan Teks,2
36,"Ika Kusumaning Putri, MT.",Pengembangan Game,1
36,"Ika Kusumaning Putri, MT.",Penerapan Sistem Informasi Geografis,1
36,"Ika Kusumaning Putri, MT.",Penerapan Augmented Reality,2
36,"Ika Kusumaning Putri, MT.",Penerapan Sistem Peramalan,2
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Data Besar,7
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Sistem Pendukung Keputusan,8
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Penambangan Teks,14
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Watermarking pada Citra,2
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Morfologi Citra Digital,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Sistem Pakar,5
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Penambangan Data,4
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Information Retrieval,5
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Teknologi Nirkabel,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Sistem Informasi Geografis,4
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Manajemen Informasi,2
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Intelijen Bisnis,1
37,"Imam Fahrur Rozi, ST., MT.",Computational Thinking,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,2
37,"Imam Fahrur Rozi, ST., MT.",Penerapan IoT,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Sistem Peramalan,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Virtualisasi Jaringan,1
37,"Imam Fahrur Rozi, ST., MT.",Penerapan Augmented Reality,1
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Data Besar,11
38,"Indra Dharma Wijaya, ST., M.MT.",Multimedia,18
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Keamanan Data,2
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Penambangan Data,3
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan IoT,7
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Sistem Informasi Geografis,14
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Sistem Pendukung Keputusan,13
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Augmented Reality,9
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Bisnis Elektronik Sistem Informasi,7
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,4
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Penambangan Teks,3
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Kompresi Citra,2
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Sistem Pakar,9
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Customer Relationship Management,4
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Smart Living,3
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Sistem Peramalan,3
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Kecerdasan Buatan,1
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Morfologi Citra Digital,2
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Information Retrieval,1
38,"Indra Dharma Wijaya, ST., M.MT.",Pengembangan Game,1
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Filtering Citra,1
38,"Indra Dharma Wijaya, ST., M.MT.",Computational Thinking,5
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Teknologi Nirkabel,1
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Virtualisasi Jaringan,2
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Teknologi Jaringan,1
38,"Indra Dharma Wijaya, ST., M.MT.",Penerapan Enkripsi,1
39,"Irsyad Arif Mashudi, M.Kom",Penerapan Information Retrieval,4
39,"Irsyad Arif Mashudi, M.Kom",Penerapan Kecerdasan Buatan,1
39,"Irsyad Arif Mashudi, M.Kom",Penerapan IoT,1
39,"Irsyad Arif Mashudi, M.Kom",Penerapan Penambangan Teks,1
39,"Irsyad Arif Mashudi, M.Kom",Penerapan Sistem Informasi Geografis,2
39,"Irsyad Arif Mashudi, M.Kom",Pengembangan Game,1
39,"Irsyad Arif Mashudi, M.Kom",Computational Thinking,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Morfologi Citra Digital,2
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Penambangan Teks,2
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan IoT,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Kecerdasan Buatan,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Pengembangan Game,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Sistem Pendukung Keputusan,4
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Smart Living,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Sistem Informasi Geografis,3
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Teknologi Nirkabel,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Pembelajaran Elektronik pada Sistem Informasi,3
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Information Retrieval,4
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Pengolahan Citra,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Manajemen Informasi,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Multimedia,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Keamanan Data,1
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Pengenalan Pola,2
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Sistem Pakar,2
40,"Kadek Suarjuna Batubulan, S.Kom, MT",Penerapan Watermarking pada Citra,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Kecerdasan Buatan,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Penambangan Teks,2
41,"Luqman Affandi, S.Kom., MMSI",Penerapan IoT,5
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Sistem Peramalan,7
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Sistem Pakar,6
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Keamanan Data,2
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Sistem Informasi Geografis,7
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Manajemen Informasi,4
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Data Besar,3
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Virtualisasi Jaringan,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Information Retrieval,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Keamanan Cyber,1
41,"Luqman Affandi, S.Kom., MMSI",Multimedia,2
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Sistem Pendukung Keputusan,3
41,"Luqman Affandi, S.Kom., MMSI",Penerapan IT Forensik pada Jaringan,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Morfologi Citra Digital,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Enkripsi,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Filtering Citra,1
41,"Luqman Affandi, S.Kom., MMSI",Penerapan Bisnis Elektronik Sistem Informasi,1
42,M. Hasyim Ratsanjani,Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
42,M. Hasyim Ratsanjani,Penerapan Penambangan Teks,1
42,M. Hasyim Ratsanjani,Penerapan Data Besar,2
42,M. Hasyim Ratsanjani,Penerapan Smart Living,1
43,Mamluatul Hani'ah,Penerapan Information Retrieval,1
43,Mamluatul Hani'ah,Penerapan Data Besar,2
43,Mamluatul Hani'ah,Penerapan Filtering Citra,1
43,Mamluatul Hani'ah,Penerapan Sistem Peramalan,2
43,Mamluatul Hani'ah,Penerapan Penambangan Teks,1
43,Mamluatul Hani'ah,Penerapan Sistem Informasi Geografis,3
43,Mamluatul Hani'ah,Penerapan Augmented Reality,1
43,Mamluatul Hani'ah,Penerapan Sistem Pakar,2
43,Mamluatul Hani'ah,Penerapan Morfologi Citra Digital,1
43,Mamluatul Hani'ah,Computational Thinking,1
44,"Meyti Eka Apriyani ST., MT.",Penerapan Augmented Reality,12
44,"Meyti Eka Apriyani ST., MT.",Multimedia,2
44,"Meyti Eka Apriyani ST., MT.",Penerapan Sistem Informasi Geografis,1
44,"Meyti Eka Apriyani ST., MT.",Integrasi Sistem dan Arsitektur,2
44,"Meyti Eka Apriyani ST., MT.",Penerapan Virtualisasi Jaringan,2
44,"Meyti Eka Apriyani ST., MT.",Penerapan Kecerdasan Buatan,2
44,"Meyti Eka Apriyani ST., MT.",Penerapan Enkripsi,2
44,"Meyti Eka Apriyani ST., MT.",Computational Thinking,1
44,"Meyti Eka Apriyani ST., MT.",Penerapan Manajemen Informasi,1
44,"Meyti Eka Apriyani ST., MT.",Penerapan IT Forensik pada Jaringan,1
44,"Meyti Eka Apriyani ST., MT.",Penerapan Sistem Peramalan,2
44,"Meyti Eka Apriyani ST., MT.",Penerapan Sistem Pendukung Keputusan,1
44,"Meyti Eka Apriyani ST., MT.",Penerapan Teknologi Nirkabel,1
45,Milyun Ni'ma Shoumi,Penerapan Morfologi Citra Digital,2
45,Milyun Ni'ma Shoumi,Penerapan Sistem Informasi Geografis,3
45,Milyun Ni'ma Shoumi,Computational Thinking,1
45,Milyun Ni'ma Shoumi,Penerapan Sistem Pendukung Keputusan,3
45,Milyun Ni'ma Shoumi,Penerapan Customer Relationship Management,1
45,Milyun Ni'ma Shoumi,Penerapan Sistem Pakar,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Bisnis Elektronik Sistem Informasi,2
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Watermarking pada Citra,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Pengenalan Pola,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Customer Relationship Management,2
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Sistem Informasi Geografis,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Data Besar,3
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Teknologi Nirkabel,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Sistem Peramalan,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Smart Living,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Manajemen Informasi,1
46,"Moch. Zawaruddin Abdullah, S.ST., M.Kom",Penerapan Penambangan Teks,1
47,"Muhammad Afif Hendrawan.,S.Kom., MT",Penerapan Morfologi Citra Digital,2
47,"Muhammad Afif Hendrawan.,S.Kom., MT",Penerapan Augmented Reality,1
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Pengembangan Game,2
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Augmented Reality,2
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan IoT,1
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Computational Thinking,1
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Multimedia,2
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Pembelajaran Elektronik pada Sistem Informasi,2
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Bisnis Elektronik Sistem Informasi,2
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Data Besar,1
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Sistem Informasi Geografis,1
48,"Muhammad Shulhan Khairy, S.Kom, M.Kom",Penerapan Keamanan Data,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Keamanan Data,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Bisnis Elektronik Sistem Informasi,4
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Kecerdasan Buatan,5
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Penambangan Teks,3
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Morfologi Citra Digital,6
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Sistem Pendukung Keputusan,4
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Augmented Reality,6
50,"Mungki Astiningrum, ST., M.Kom.",Computational Thinking,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Customer Relationship Management,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Sistem Informasi Geografis,2
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Sistem Pakar,3
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Pengenalan Pola,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Data Besar,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Kompresi Citra,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Transformasi Citra,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Filtering Citra,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Sistem Peramalan,5
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Smart Living,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Information Retrieval,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Manajemen Informasi,1
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Watermarking pada Citra,2
50,"Mungki Astiningrum, ST., M.Kom.",Pengembangan Game,3
50,"Mungki Astiningrum, ST., M.Kom.",Penerapan Virtualisasi Jaringan,2
50,"Mungki Astiningrum, ST., M.Kom.",Skalabilitas dan Analitik Data,1
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Transformasi Citra,3
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Penambangan Teks,5
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Morfologi Citra Digital,7
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Sistem Pendukung Keputusan,11
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Sistem Peramalan,2
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Kecerdasan Buatan,1
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Manajemen Informasi,3
51,"Mustika Mentari, S.Kom., M.Kom",Computational Thinking,1
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Customer Relationship Management,1
51,"Mustika Mentari, S.Kom., M.Kom",Pengembangan Game,2
51,"Mustika Mentari, S.Kom., M.Kom",Penerapan Data Besar,1
